stationID,longitude,latitude,line
1695,40.76778133,-73.964319,4-6-6 Express
1696,40.77352633,-73.959734,4-6-6 Express
1697,40.77360333,-73.959578,4-6-6 Express
1698,40.77345196,-73.98205318,1-2
1699,40.78038233,-73.973156,A-C-B
1700,40.78520633,-73.969567,A-C-B
1701,40.78610433,-73.969017,A-C-B
1702,40.79327233,-73.973046,1-2-3
1703,40.79318233,-73.972632,1-2-3
1704,40.79459733,-73.972061,1-2-3
1705,40.79444933,-73.971703,1-2-3
1706,40.79259833,-73.964287,A-C-B
1707,40.79914233,-73.968314,1
1708,40.79958633,-73.968082,1
1709,40.80425733,-73.966422,1
1710,40.80000133,-73.958859,A-C-B
1711,40.80754433,-73.963968,1
1712,40.80810634,-73.963592,1
1713,40.81530734,-73.958826,1
1714,40.77946833,-73.955868,4-5-6-6 Express
1715,40.77932533,-73.955479,4-5-6-6 Express
1716,40.79019333,-73.947673,4-6-6 Express
1717,40.79493733,-73.944515,4-6-6 Express
1718,40.79479933,-73.944202,4-6-6 Express
1719,40.79850033,-73.952616,2-3
1720,40.80221733,-73.94973,2-3
1721,40.80455833,-73.955467,A-C-B
1722,40.81058533,-73.952559,A-C-B-D
1723,40.81129933,-73.951937,A-C-B-D
1724,40.81186133,-73.951354,A-C-B-D
1725,40.80769233,-73.945732,2-3
1726,40.80797233,-73.945532,2-3
1727,40.82142233,-73.953848,1
1728,40.82664833,-73.950525,1
1729,40.81688333,-73.947934,A-C-B
1730,40.81855133,-73.947531,A-C-B
1731,40.82393633,-73.94501,A-C-B-D
1732,40.82381633,-73.944717,A-C-B-D
1733,40.82541133,-73.943579,A-C-B-D
1734,40.80458133,-73.937403,4-5-6-6 Express
1735,40.81391933,-73.940811,2-3
1736,40.82034533,-73.936496,3
1737,40.82059233,-73.935944,3
1738,40.83423833,-73.945098,1
1739,40.83092733,-73.941105,A-C
1740,40.83099033,-73.94115,A-C
1741,40.83388334,-73.944594,1
1742,40.83010633,-73.936751,B-D
1743,40.84074133,-73.939252,1-A-C
1744,40.84175834,-73.939085,1-A-C
1745,40.84810441,-73.93954677,A
1746,40.84794433,-73.939679,A
1747,40.85085833,-73.938469,A
1748,40.85075333,-73.938149,A
1749,40.75500833,-73.984249,7-7 Express-B-D-F-M
1750,40.75421333,-73.982984,7-7 Express-B-D-F-M
1751,40.75856733,-73.989053,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1752,40.75555433,-73.987679,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1753,40.75533434,-73.9872,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1754,40.76174133,-73.986924,A-C-E
1755,40.75417503,-73.98287073,7-7 Express-B-D-F-M
1756,40.71187734,-74.005163,4-5-6-6 Express-J-Z
1757,40.75802433,-73.982079,B-D-F-M
1758,40.75939633,-73.98471,N-Q-R
1759,40.76290033,-73.985412,A-C-E
1760,40.76128233,-73.983853,1-2
1761,40.7631589,-73.98270276,B-D-E
1762,40.75284633,-73.979798,4-5-6-6 Express-7-7 Express-S
1763,40.76121231,-73.9833567,1-2
1764,40.75165314,-73.97775349,4-5-6-6 Express-7-7 Express-S
1765,40.75786234,-73.981735,B-D-F-M
1766,40.75848633,-73.981158,B-D-F-M
1767,40.75897733,-73.981352,B-D-F-M
1768,40.75989633,-73.980706,B-D-F-M
1769,40.76280233,-73.981673,B-D-E
1770,40.76037333,-73.975562,E-M
1771,40.75710333,-73.972084,4-6-6 Express-E-M
1772,40.75727033,-73.971959,4-6-6 Express-E-M
1773,40.75711733,-73.971709,4-6-6 Express-E-M
1774,40.75772233,-73.969178,4-6-6 Express-E-M
1775,40.76224534,-73.968408,4-5-6-6 Express-N-Q-R
1776,40.76286033,-73.967555,4-5-6-6 Express-N-Q-R
1777,40.76196833,-73.966114,4-5-6-6 Express-N-Q-R
1778,40.76673333,-73.982589,1-2-A-C-B-D
1779,40.76767733,-73.982526,1-2-A-C-B-D
1780,40.76419033,-73.980721,N-Q-R
1781,40.76529633,-73.980063,N-Q-R
1782,40.66055013,-73.83042049,A
1783,40.60793799,-73.81596848,A-S
1784,40.76564833,-73.979787,N-Q-R
1785,40.76864933,-73.981184,1-2-A-C-B-D
1786,40.76421033,-73.977442,F
1787,40.76398957,-73.97723753,F
1788,40.76450633,-73.97686,F
1789,40.76470833,-73.972298,N-Q-R
1790,40.76480833,-73.972222,N-Q-R
1791,40.76485733,-73.966464,F
1792,40.71222833,-74.004302,4-5-6-6 Express-J-Z
1793,40.71419433,-73.990352,F
1794,40.71987033,-74.005038,A-C-E
1795,40.74288052,-73.99250577,F-M
1796,40.7426598,-73.99248905,F-M
1797,40.74297702,-73.99318831,F-M
1798,40.72070434,-74.004999,A-C-E
1799,40.71830433,-74.000138,4-6-6 Express-J-Z-N-Q-R
1800,40.71918633,-74.001789,4-6-6 Express-J-Z-N-Q-R
1801,40.71958533,-74.00193,4-6-6 Express-J-Z-N-Q-R
1802,40.71850633,-74.000826,4-6-6 Express-J-Z-N-Q-R
1803,40.72287833,-74.006518,1
1804,40.72559533,-74.004326,A-C-E
1805,40.72784033,-74.005681,1
1806,40.72847233,-74.005188,1
1807,40.71815533,-73.993452,B-D
1808,40.72246833,-73.997397,4-6-6 Express
1809,40.72420733,-73.997601,N-R
1810,40.72549933,-73.996387,4-5-6-6 Express-B-D-F-M
1811,40.72595833,-73.994829,4-5-6-6 Express-B-D-F-M
1812,40.72575533,-73.994367,4-6-6 Express
1813,40.72395034,-73.991298,F
1814,40.73060233,-73.992631,N-R
1815,40.73057833,-73.992216,N-R
1816,40.73351533,-74.003147,1
1817,40.73365233,-74.003006,1
1818,40.73109133,-74.001127,A-C-E-B-D-F-M
1819,40.73072733,-73.992529,N-R
1820,40.71390633,-73.990014,F
1821,40.71835833,-73.988446,F-J-M-Z
1822,40.71841433,-73.987195,F-J-M-Z
1823,40.73307233,-74.000192,A-C-E-B-D-F-M
1824,40.71553928,-74.00942652,1-2-3
1825,40.71826569,-73.99387677,B-D
1826,40.6793339,-73.9952502,F-G
